id,store_id,display_name,store,latitude,longitude,address,city,state,zip,icon
1,2104,"Newburgh Supercenter",walmart,41.497674,-74.074726,"1201 Route 300",Newburgh,NY,12550,walmart-icon.png
2,1810,"Fishkill Supercenter",walmart,41.530779,-73.897109,"26 W Merritt Blvd",Fishkill,NY,12524,walmart-icon.png
3,2531,"Mohegan Lake Store",walmart,41.310524,-73.8667982,"3133 E Main St","Mohegan Lake",NY,10547,walmart-icon.png
4,2637,"Monroe Supercenter",walmart,41.316942,-74.148316,"288 Larkin Dr",Monroe,NY,10950,walmart-icon.png
5,1959,"Middletown Supercenter",walmart,41.455314,-74.37827,"470 Route 211 E",Middletown,NY,10940,walmart-icon.png
6,2905,"Suffern Store",walmart,41.113316,-74.107074,"250 Route 59",Suffern,NY,10901,walmart-icon.png
7,4570,"Napanoch Supercenter",walmart,41.7424997,-74.3706537,"7500 Route 209",Napanoch,NY,12458,walmart-icon.png
8,3543,"Danbury Store",walmart,41.407877,-73.412984,"67 Newtown Rd",Danbury,CT,06810,walmart-icon.png
9,3546,"New Milford Store",walmart,41.551962,-73.419723,"164 Danbury Rd","New Milford",CT,06776,walmart-icon.png
10,3443,"Riverdale Store",walmart,40.992839,-74.311823,"48 State Rt 23",Riverdale,NJ,07457,walmart-icon.png
11,2954,"Norwalk Store",walmart,41.159154,-73.417392,"650 Main Ave",Norwalk,CT,06851,walmart-icon.png
12,3547,"Norwalk Store",walmart,41.096203,-73.449547,"680 Connecticut Ave",Norwalk,CT,06854,walmart-icon.png
13,2090,"Franklin Store",walmart,41.116058,-74.578954,"230 State Highway",Franklin,NJ,07416,walmart-icon.png
14,2504,"Kingston Supercenter",walmart,41.972503,-73.985511,"601 Frank Stottile Blvd",Kingston,NY,12401,walmart-icon.png
15,3562,"Saddle Brook Store",walmart,40.8922201,-74.0938144,"189 Us Highway 46","Saddle Brook",NJ,07663,walmart-icon.png
16,2064,"Milford Supercenter",walmart,41.34997,-74.733605,"220 Route 6 & 209",Milford,PA,18337,walmart-icon.png
17,2547,"Monticello Supercenter",walmart,41.666909,-74.679828,"41 Anawana Lake Rd",Monticello,NY,12701,walmart-icon.png
18,5752,"Garfield Supercenter",walmart,40.866688,-74.100931,"174 Passaic St",Garfield,NJ,07026,walmart-icon.png
19,3159,"Teterboro Supercenter",walmart,40.8626458,-74.062491,"1 Teterboro Landing Drive",Teterboro,NJ,07608,walmart-icon.png
20,5077,"Boonton Store",walmart,40.9070884,-74.4040426,"300 Wootton St",Boonton,NJ,07005,walmart-icon.png
21,3795,"North Bergen Supercenter",walmart,40.814107,-74.013451,"2100 88th St","North Bergen",NJ,07047,walmart-icon.png
22,3520,"Secaucus Supercenter",walmart,40.793,-74.042466,"400 Park Pl",Secaucus,NJ,07094,walmart-icon.png
23,2604,"Newton Store",walmart,41.069708,-74.738846,"26 Hampton House Rd",Newton,NJ,07860,walmart-icon.png
24,5178,"Rockaway Store",walmart,40.907569,-74.562167,"220 Enterprise Dr",Rockaway,NJ,07866,walmart-icon.png
25,2163,"Shelton Store",walmart,41.29143,-73.112949,"465 Bridgeport Ave",Shelton,CT,06484,walmart-icon.png
26,5447,"Kearny Supercenter",walmart,40.7477247,-74.1374739,"150 Harrison Ave",Kearny,NJ,07032,walmart-icon.png
28,2585,"Stratford Store",walmart,41.2013398,-73.1187591,"150 Barnum Avenue Cutoff",Stratford,CT,06614,walmart-icon.png
29,3598,"Cedar Knolls Store",walmart,40.809705,-74.457207,"235 Ridgedale Ave","Cedar Knolls",NJ,07927,walmart-icon.png
31,2284,"Naugatuck Supercenter",walmart,41.4706,-73.028,"1100 New Haven Rd",Naugatuck,CT,06770,walmart-icon.png
33,2569,"Ledgewood Store",walmart,40.873613,-74.653315,"2569 To 461 Rt 10 Suite 29",Ledgewood,NJ,07852,walmart-icon.png
